Taxon	0328_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0403_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0423_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0531_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0619_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0705_rrna.silva-bac-16s-database-id85.fasta.class.tsv	0709_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1001_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1004_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1028_rrna.silva-bac-16s-database-id85.fasta.class.tsv	1123_rrna.silva-bac-16s-database-id85.fasta.class.tsv
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales;Alcaligenaceae	4	0	0	0	0	0	3	0	0	0	2
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales;Alcaligenaceae;Bordetella	0	0	2	0	0	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis	0	0	0	0	2	0	0	0	0	0	0
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales;Comamonadaceae	12	0	6	6	0	2	12	8	1	7	5
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales;Comamonadaceae;Curvibacter	0	0	0	0	0	0	0	0	0	0	2
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Burkholderiales;Oxalobacteraceae;Undibacterium	0	0	0	0	0	0	0	0	0	2	0
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Methylophilales;Methylophilaceae	3	0	0	0	0	2	4	3	0	1	1
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Methylophilales;Methylophilaceae;Methylophilus	1	0	2	0	0	0	2	0	1	2	3
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Methylophilales;Methylophilaceae;Methylotenera	0	0	0	0	0	0	0	2	0	1	0
Root;Bacteria;"Proteobacteria";Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	0	0	0	0	0	0	0	0	0	2	0
